type,annotations.gid,annotations.euid,annotations.children pid namespace,annotations.pid,annotations.seen time,annotations.source,annotations.net namespace,annotations.ipc namespace,annotations.ppid,annotations.pid namespace,annotations.uid,annotations.egid,annotations.exe,annotations.mount namespace,annotations.name,annotations.user namespace,annotations.path,annotations.subtype,annotations.permissions,annotations.epoch,annotations.version,annotations.memory address,annotations.size,annotations.tgid,annotations.start time,annotations.ns pid,annotations.read fd,annotations.write fd,annotations.cwd,annotations.command line,annotations.fd,annotations.root path
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43eba6e000,211738,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43eba79000,1ff000,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ebc78000,2000,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ebc7a000,5738,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop11,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop11/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ebc78000,1000,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ebe96000,1000,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ec0a4000,1000,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:11,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ed598000,967,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f43ed598000,392,3013,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:14,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop14,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,unnamed pipe,,4,0,,,766,,,15,16,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,unnamed pipe,,4,0,,,766,,,17,18,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,unnamed pipe,,4,0,,,766,,,19,20,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop14/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:14,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/proc/3014/fd,directory,0500,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:12,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop12,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop12/uevent,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/librt.so.1,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8fe3c000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8eb00000,207be0,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8eb07000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8ed06000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/liblzma.so.5,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e8da000,225108,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e8fe000,200000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8eafe000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/usr/lib/x86_64-linux-gnu/liblz4.so.1,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e6be000,21b060,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e6d9000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e8d8000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libgcrypt.so.20,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e3a2000,31b008,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e4b6000,200000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e6b6000,7000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e6bd000,8,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libselinux.so.1,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e17a000,2278d0,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e19f000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e39e000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e3a0000,18d0,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libudev.so.1,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8df5c000,21d908,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/run/udev/data/b7:12,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8df79000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8e178000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libm.so.6,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/dev/block/7:15,link,0777,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8fe3a000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8dbbe000,39d158,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8dd5b000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8df5a000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libgpg-error.so.0,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8d9a9000,2140e8,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8d9bd000,1ff000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8b8dbbc000,2000,1104,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/sys/devices/virtual/block/loop15,directory,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e41856000,13817,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e41854000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e413f2000,24ec68,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4143f000,200000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e4163f000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e411ee000,2030a8,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e411f1000,1ff000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e413f0000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40fe5000,208928,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40fec000,200000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e411ec000,2000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40d98000,24cd00,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40ddf000,200000,3014,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f8e40fdf000,5000,3014,,,,,,,,
